original,intermediate,back_translated,target_lang,success,category,similarity,original_words,back_words,word_change_pct,orig_punct,back_punct,punct_lost,meaning_status
bannon's cyst finally ruptures,बैनन की पुटी अंततः फट गई,Bannon's cyst finally bursts,hi,True,sarcasm,86.21,4,4,0.0,1,1,0,preserved
bannon's cyst finally ruptures,le kyste de Bannon finit par se rompre,Bannon's cyst eventually ruptures,fr,True,sarcasm,88.89,4,4,0.0,1,1,0,preserved
neighborhood has gotten a lot safer since mayor vanquished fire troll,市長がファイアトロールを退治して以来、近所はずっと安全になった,The neighborhood has become much safer since the mayor got rid of the fire troll.,ja,True,sarcasm,70.67,11,15,36.36,0,0,0,partial_loss
neighborhood has gotten a lot safer since mayor vanquished fire troll,मेयर द्वारा फायर ट्रॉल पर काबू पाने के बाद से पड़ोस काफी सुरक्षित हो गया है,The neighborhood has become much safer since the mayor took control of the fire troll,hi,True,sarcasm,68.83,11,15,36.36,0,0,0,partial_loss
neighborhood has gotten a lot safer since mayor vanquished fire troll,le quartier est devenu beaucoup plus sûr depuis que le maire a vaincu le troll du feu,the neighborhood has become much safer since the mayor defeated the fire troll,fr,True,sarcasm,72.11,11,13,18.18,0,0,0,partial_loss
"Thank you. It doesn't sound so bad, at least on paper.",ありがとう。少なくとも紙の上では、それほど悪くはないようです。,"thank you. At least on paper, it doesn't seem too bad.",ja,True,emotional,53.7,11,11,0.0,1,1,0,significant_loss
"Thank you. It doesn't sound so bad, at least on paper.","धन्यवाद। यह उतना बुरा नहीं लगता, कम से कम कागज़ पर।","Thank you. It doesn't sound that bad, at least on paper.",hi,True,emotional,94.55,11,11,0.0,1,1,0,preserved
"Thank you. It doesn't sound so bad, at least on paper.","Merci. Cela n’a pas l’air si mal, du moins sur le papier.","THANKS. It doesn't sound so bad, at least on paper.",fr,True,emotional,95.24,11,10,-9.09,1,1,0,preserved
"That sucks, I hope you find the finances to be able to go back to it someday.",残念ですね、いつか元に戻れる経済力が見つかるといいですね。,"It's a shame, but I hope someday I can find the financial strength to go back to normal.",ja,True,emotional,60.61,17,18,5.88,0,1,-1,partial_loss
"That sucks, I hope you find the finances to be able to go back to it someday.","यह बेकार है, मुझे आशा है कि आप किसी दिन इस पर वापस जाने में सक्षम होने के लिए वित्त पा लेंगे।","It sucks, I hope you find the finances to be able to go back to it someday.",hi,True,emotional,97.37,17,17,0.0,0,0,0,preserved
"That sucks, I hope you find the finances to be able to go back to it someday.","C'est nul, j'espère que vous trouverez les finances pour pouvoir y retourner un jour.","It sucks, I hope you find the finances to be able to go back one day.",fr,True,emotional,90.41,17,16,-5.88,0,0,0,preserved
[NAME] saw it during the football game and was super impressed!,[NAME] さんはフットボールの試合中にそれを見て、とても感動しました。,[NAME] saw it during a football game and was very impressed.,ja,True,emotional,91.06,11,11,0.0,1,0,1,preserved
[NAME] saw it during the football game and was super impressed!,[नाम] ने फुटबॉल खेल के दौरान इसे देखा और बहुत प्रभावित हुए!,[Name] saw it during the football game and was very impressed!,hi,True,emotional,96.0,11,11,0.0,1,1,0,preserved
[NAME] saw it during the football game and was super impressed!,[NOM] l'a vu pendant le match de football et a été très impressionné !,[NAME] saw it during the football game and was very impressed!,fr,True,emotional,96.0,11,11,0.0,1,1,0,preserved
"Not all [NAME] supporters are tankies, but all tankies are [NAME] supporters",すべての [NAME] サポーターがタンキーであるわけではありませんが、すべてのタンキーが [NAME] サポーターです,"Not all [NAME] supporters are tankies, but all tankies are [NAME] supporters",ja,True,emotional,100.0,12,12,0.0,0,0,0,preserved
"Not all [NAME] supporters are tankies, but all tankies are [NAME] supporters","सभी [नाम] समर्थक टैंकी नहीं हैं, लेकिन सभी टैंकी [नाम] समर्थक हैं","Not all [name] supporters are tanky, but all tanky [name] supporters are",hi,True,emotional,89.19,12,12,0.0,0,0,0,preserved
"Not all [NAME] supporters are tankies, but all tankies are [NAME] supporters","Tous les supporters de [NOM] ne sont pas des tankistes, mais tous les tankistes sont des supporters de [NOM]","Not all [NAME] supporters are tankers, but all tankers are [NAME] supporters",fr,True,emotional,97.37,12,12,0.0,0,0,0,preserved
Oooh I haven't heard of that one. I'll look around.,ああ、それは聞いたことがない。周りを見回してみます。,"Oh, I've never heard of that. I'll look around.",ja,True,emotional,81.63,10,9,-10.0,2,2,0,partial_loss
Oooh I haven't heard of that one. I'll look around.,"ओह, मैंने उसके बारे में नहीं सुना है। मैं चारों ओर देखूंगा.","Oh, I haven't heard of that. I will look around.",hi,True,emotional,88.89,10,10,0.0,2,1,1,preserved
Oooh I haven't heard of that one. I'll look around.,"Oooh, je n'ai pas entendu parler de celui-là. Je vais regarder autour de moi.","Oooh, I haven't heard of that one. I'll look around me.",fr,True,emotional,96.23,10,11,10.0,2,2,0,preserved
Ok what deal would you like to see made?,OK、どのような取引を希望しますか?,"OK, what kind of deal would you like?",ja,True,emotional,72.73,9,8,-11.11,1,1,0,partial_loss
Ok what deal would you like to see made?,ठीक है आप कौन सा सौदा देखना चाहेंगे?,Okay which deal would you like to see?,hi,True,emotional,84.62,9,8,-11.11,1,1,0,partial_loss
Ok what deal would you like to see made?,"Ok, quel accord aimeriez-vous voir conclu ?","Ok, what deal would you like to see made?",fr,True,emotional,98.77,9,9,0.0,1,1,0,preserved
That was nasty... but also the most real thing I’ve seen on the show lately.. lol,あれはひどいものでした...でも、最近この番組で見た中で最も現実的なものでもありました...(笑),That was terrible...but it was also the most realistic thing I've seen on this show in a while...lol,ja,True,emotional,76.24,16,18,12.5,0,1,-1,partial_loss
That was nasty... but also the most real thing I’ve seen on the show lately.. lol,वह बुरा था... लेकिन सबसे वास्तविक चीज़ भी जो मैंने हाल ही में शो में देखी है.. हाहाहा,That was bad... but also the most realistic thing I've seen on the show recently.. hahaha,hi,True,emotional,82.35,16,16,0.0,0,1,-1,partial_loss
That was nasty... but also the most real thing I’ve seen on the show lately.. lol,C'était méchant... mais aussi la chose la plus réelle que j'ai vue dans la série ces derniers temps... mdr,It was nasty... but also the realest thing I've seen on the show lately... lol,fr,True,emotional,90.57,16,15,-6.25,0,1,-1,preserved
There was a weirdly similar post to this on LegalAdviceUK maybe a couple of days back.,おそらく数日前に、これと奇妙に似た投稿が LegalAdviceUK にありました。,"There was a post on LegalAdviceUK that was strangely similar to this, probably a few days ago.",ja,True,emotional,54.44,16,17,6.25,0,0,0,significant_loss
There was a weirdly similar post to this on LegalAdviceUK maybe a couple of days back.,शायद कुछ दिन पहले लीगलएडवाइसयूके पर इससे मिलती-जुलती एक अजीब पोस्ट थी।,There was a strange post perhaps similar to this on LegalAdviceUK a few days ago.,hi,True,emotional,70.66,16,15,-6.25,0,0,0,partial_loss
There was a weirdly similar post to this on LegalAdviceUK maybe a couple of days back.,Il y a eu un article étrangement similaire à celui-ci sur LegalAdviceUK il y a peut-être quelques jours.,There was an article eerily similar to this on LegalAdviceUK perhaps a few days ago.,fr,True,emotional,74.12,16,15,-6.25,0,0,0,partial_loss
YOU BLEEPING NEED ME! YOU CAN'T MAKE THIS SUB GREAT WITHOUT ME!,泣いているあなたには私が必要なのです！私なしではこのサブを素晴らしいものにすることはできません!,You need me when you cry! This sub wouldn't be great without me!,ja,True,emotional,69.29,12,13,8.33,3,3,0,partial_loss
YOU BLEEPING NEED ME! YOU CAN'T MAKE THIS SUB GREAT WITHOUT ME!,तुम्हें मेरी ज़रूरत है! मेरे बिना आप इस सब को महान नहीं बना सकते!,You need me! You can't make it all this great without me!,hi,True,emotional,83.33,12,12,0.0,3,3,0,partial_loss
YOU BLEEPING NEED ME! YOU CAN'T MAKE THIS SUB GREAT WITHOUT ME!,VOUS AVEZ BESOIN DE MOI ! VOUS NE POUVEZ PAS RENDRE CE SUB GRAND SANS MOI !,YOU NEED ME! YOU CAN'T MAKE THIS SUB BIG WITHOUT ME!,fr,True,emotional,86.96,12,11,-8.33,3,3,0,preserved
"haha I didnt remember that Rampage was there live commentating for that one, good stuff. ",はは、ランペイジがあの試合の生解説をしていたとは覚えていませんでした、それは良かったです。,"Haha, I didn't remember Rampage doing live commentary for that match, that was good.",ja,True,emotional,70.93,15,14,-6.67,0,1,-1,partial_loss
"haha I didnt remember that Rampage was there live commentating for that one, good stuff. ","हाहा मुझे याद नहीं आया कि रैम्पेज वहां लाइव कमेंट्री कर रहा था, अच्छी बात है।","Haha I didn't remember Rampage being there doing live commentary, good point.",hi,True,emotional,72.73,15,12,-20.0,0,1,-1,partial_loss
"haha I didnt remember that Rampage was there live commentating for that one, good stuff. ","haha, je ne me souvenais pas que Rampage était là pour commenter en direct celui-là, c'est une bonne chose.","haha, I didn't remember Rampage being there to do live commentary on that one, that's a good thing.",fr,True,emotional,73.8,15,18,20.0,0,2,-2,partial_loss
Ik was more curious with our communities opinion,私はコミュニティの意見にもっと興味がありました,I was more interested in community opinion,ja,True,emotional,66.67,8,7,-12.5,0,0,0,partial_loss
Ik was more curious with our communities opinion,मैं हमारे समुदायों की राय को लेकर अधिक उत्सुक था,I was more curious about the opinions of our communities,hi,True,emotional,71.15,8,10,25.0,0,0,0,partial_loss
Ik was more curious with our communities opinion,Ik était plus curieux de connaître l'opinion de nos communautés,Ik was more curious to know the opinion of our communities,fr,True,emotional,73.58,8,11,37.5,0,0,0,partial_loss
I'm curious to see what his answer will be,彼の答えがどうなるか知りたい,I want to know what his answer will be.,ja,True,emotional,74.07,9,9,0.0,1,0,1,partial_loss
I'm curious to see what his answer will be,मैं यह देखने को उत्सुक हूं कि उसका उत्तर क्या होगा,I'm curious to see what his answer will be,hi,True,emotional,100.0,9,9,0.0,1,1,0,preserved
I'm curious to see what his answer will be,Je suis curieux de voir quelle sera sa réponse,I'm curious to see what his response will be.,fr,True,emotional,89.66,9,9,0.0,1,1,0,preserved
"Thank you for your thoughtful, insight-filled post, which makes so many valid points.",多くの有効な点を指摘した、思慮深く洞察に満ちた投稿に感謝します。,Thank you for a thoughtful and insightful post that makes many valid points.,ja,True,emotional,83.23,13,13,0.0,1,0,1,partial_loss
"Thank you for your thoughtful, insight-filled post, which makes so many valid points.","आपकी विचारशील, अंतर्दृष्टि से भरी पोस्ट के लिए धन्यवाद, जो इतने सारे वैध बिंदु प्रस्तुत करती है।","Thank you for your thoughtful, insightful post, which makes so many valid points.",hi,True,emotional,96.39,13,13,0.0,1,0,1,preserved
"Thank you for your thoughtful, insight-filled post, which makes so many valid points.","Merci pour votre message réfléchi et rempli de perspicacité, qui fait valoir tant de points valables.","Thank you for your thoughtful and insightful post, which makes so many valid points.",fr,True,emotional,93.49,13,14,7.69,1,0,1,preserved
There's an Arby's/Long John Silvers near where I live. I'm glad they don't cross menu items.,私が住んでいる場所の近くにアービーズ/ロング・ジョン・シルバーズがあります。メニュー項目をまたがないのが嬉しいです。,There is an Arby's/Long John Silver's near where I live. I like that it doesn't cross menu items.,ja,True,emotional,88.89,16,18,12.5,4,3,1,preserved
There's an Arby's/Long John Silvers near where I live. I'm glad they don't cross menu items.,जहां मैं रहता हूं उसके निकट एक आर्बी/लॉन्ग जॉन सिल्वर है। मुझे खुशी है कि वे मेनू आइटम को पार नहीं करते हैं।,There is an Arby's/Long John Silver's near where I live. I'm glad they don't cross out menu items.,hi,True,emotional,95.79,16,18,12.5,4,4,0,preserved
There's an Arby's/Long John Silvers near where I live. I'm glad they don't cross menu items.,Il y a un Arby's/Long John Silvers près de chez moi. Je suis heureux qu'ils ne croisent pas les éléments de menu.,There is an Arby's/Long John Silvers near me. I'm glad they don't cross menu items.,fr,True,emotional,91.43,16,15,-6.25,4,3,1,preserved
I wonder can they basejump to the bottom.,彼らは一番下までベースジャンプできるだろうか。,Can they BASE jump to the bottom?,ja,True,emotional,83.78,8,7,-12.5,0,1,-1,partial_loss
I wonder can they basejump to the bottom.,मुझे आश्चर्य है कि क्या वे नीचे तक बेसजंप कर सकते हैं।,I wonder if they can basejump to the bottom.,hi,True,emotional,89.41,8,9,12.5,0,0,0,preserved
I wonder can they basejump to the bottom.,Je me demande s'ils peuvent faire un basejump jusqu'en bas.,I wonder if they can basejump all the way down.,fr,True,emotional,70.45,8,10,25.0,0,0,0,partial_loss
"I can't do it anymore today, I'm out. ",今日はもう無理、外出です。,"I can't do it today, so I'm going out.",ja,True,emotional,77.33,8,9,12.5,2,2,0,partial_loss
"I can't do it anymore today, I'm out. ","मैं आज यह और नहीं कर सकता, मैं बाहर हूं।","I can't do this anymore today, I'm out.",hi,True,emotional,94.74,8,8,0.0,2,2,0,preserved
"I can't do it anymore today, I'm out. ","Je n’en peux plus aujourd’hui, je suis absent.","I can't take it anymore today, I'm away.",fr,True,emotional,83.12,8,8,0.0,2,2,0,partial_loss
This reminds me of suits. (Currently about to start season four.),これを見るとスーツを思い出します。 （現在シーズン4が始まろうとしています。）,This reminds me of suits. (Season 4 is about to start.),ja,True,emotional,76.67,11,11,0.0,2,2,0,partial_loss
This reminds me of suits. (Currently about to start season four.),यह मुझे सूट की याद दिलाता है. (वर्तमान में सीज़न चार शुरू होने वाला है।),It reminds me of a suit. (Season four is currently set to begin production.),hi,True,emotional,51.06,11,14,27.27,2,2,0,significant_loss
This reminds me of suits. (Currently about to start season four.),Cela me rappelle les costumes. (Actuellement sur le point de commencer la saison quatre.),It reminds me of costumes. (Currently about to start season four.),fr,True,emotional,91.6,11,11,0.0,2,2,0,preserved
An intranet typically uses the Internet Protocol and IP-based tools such as web browsers and file transfer applications.,イントラネットは通常、インターネット プロトコルと、Web ブラウザやファイル転送アプリケーションなどの IP ベースのツールを使用します。,Intranets typically use Internet protocols and IP-based tools such as web browsers and file transfer applications.,ja,True,technical,95.73,18,16,-11.11,1,1,0,preserved
An intranet typically uses the Internet Protocol and IP-based tools such as web browsers and file transfer applications.,एक इंट्रानेट आमतौर पर इंटरनेट प्रोटोकॉल और आईपी-आधारित टूल जैसे वेब ब्राउज़र और फ़ाइल ट्रांसफर एप्लिकेशन का उपयोग करता है।,An intranet typically uses Internet protocols and IP-based tools such as web browsers and file transfer applications.,hi,True,technical,97.89,18,17,-5.56,1,1,0,preserved
An intranet typically uses the Internet Protocol and IP-based tools such as web browsers and file transfer applications.,Un intranet utilise généralement le protocole Internet et des outils basés sur IP tels que des navigateurs Web et des applications de transfert de fichiers.,An intranet typically uses Internet Protocol and IP-based tools such as web browsers and file transfer applications.,fr,True,technical,98.31,18,17,-5.56,1,1,0,preserved
"Intranets do not have to be connected to the Internet, but generally have a limited connection.",イントラネットはインターネットに接続する必要はありませんが、通常は接続が制限されています。,"Intranets do not need to be connected to the Internet, but connectivity is usually limited.",ja,True,technical,76.34,16,15,-6.25,0,0,0,partial_loss
"Intranets do not have to be connected to the Internet, but generally have a limited connection.","इंट्रानेट को इंटरनेट से कनेक्ट करने की आवश्यकता नहीं है, लेकिन आम तौर पर इसका कनेक्शन सीमित होता है।","An intranet does not need to be connected to the Internet, but generally has limited connectivity.",hi,True,technical,88.08,16,16,0.0,0,0,0,preserved
"Intranets do not have to be connected to the Internet, but generally have a limited connection.","Les intranets ne nécessitent pas nécessairement d’être connectés à Internet, mais disposent généralement d’une connexion limitée.","Intranets do not necessarily require connection to the Internet, but generally have a limited connection.",fr,True,technical,86.0,16,15,-6.25,0,0,0,preserved
"In Ethernet networks, each NIC has a unique Media Access Control (MAC) address—usually stored in the controller's permanent memory.",イーサネット ネットワークでは、各 NIC に一意のメディア アクセス コントロール (MAC) アドレスがあり、通常はコントローラの永続メモリに保存されます。,"In an Ethernet network, each NIC has a unique Media Access Control (MAC) address, typically stored in the controller's persistent memory.",ja,True,technical,91.79,19,21,10.53,3,3,0,preserved
"In Ethernet networks, each NIC has a unique Media Access Control (MAC) address—usually stored in the controller's permanent memory.","ईथरनेट नेटवर्क में, प्रत्येक एनआईसी का एक अद्वितीय मीडिया एक्सेस कंट्रोल (मैक) पता होता है - जो आमतौर पर नियंत्रक की स्थायी मेमोरी में संग्रहीत होता है।","In Ethernet networks, each NIC has a unique media access control (MAC) address—usually stored in the permanent memory of the controller.",hi,True,technical,88.39,19,21,10.53,3,2,1,preserved
"In Ethernet networks, each NIC has a unique Media Access Control (MAC) address—usually stored in the controller's permanent memory.","Dans les réseaux Ethernet, chaque carte réseau possède une adresse MAC (Media Access Control) unique, généralement stockée dans la mémoire permanente du contrôleur.","In Ethernet networks, each network card has a unique Media Access Control (MAC) address, usually stored in the controller's permanent memory.",fr,True,technical,94.85,19,21,10.53,3,3,0,preserved
"This process is often called logical database design, and the output is a logical data model expressed in the form of a schema.",このプロセスは論理データベース設計と呼ばれることが多く、出力はスキーマの形式で表現された論理データ モデルです。,"This process is often referred to as logical database design, and the output is a logical data model expressed in the form of a schema.",ja,True,technical,93.89,23,25,8.7,0,0,0,preserved
"This process is often called logical database design, and the output is a logical data model expressed in the form of a schema.","इस प्रक्रिया को अक्सर तार्किक डेटाबेस डिज़ाइन कहा जाता है, और आउटपुट एक स्कीमा के रूप में व्यक्त एक तार्किक डेटा मॉडल है।","This process is often called logical database design, and the output is a logical data model expressed as a schema.",hi,True,technical,93.39,23,20,-13.04,0,0,0,preserved
"This process is often called logical database design, and the output is a logical data model expressed in the form of a schema.",Ce processus est souvent appelé conception logique de base de données et le résultat est un modèle de données logique exprimé sous la forme d’un schéma.,This process is often called logical database design and the result is a logical data model expressed as a schema.,fr,True,technical,89.63,23,20,-13.04,0,0,0,preserved
"English is more flexible than several other languages in which ""cryptology"" (done by cryptologists) is always used in the second sense above.",英語は、「暗号学」（暗号学者によって行われる）が常に上記の 2 番目の意味で使用される他のいくつかの言語よりも柔軟性があります。,"English is more flexible than some other languages ​​where ""cryptology"" (as done by cryptographers) is always used in the second sense above.",ja,True,technical,88.65,22,22,0.0,4,4,0,preserved
"English is more flexible than several other languages in which ""cryptology"" (done by cryptologists) is always used in the second sense above.","अंग्रेजी कई अन्य भाषाओं की तुलना में अधिक लचीली है जिसमें ""क्रिप्टोलॉजी"" (क्रिप्टोलॉजिस्ट द्वारा किया गया) हमेशा उपरोक्त दूसरे अर्थ में उपयोग किया जाता है।","English is more flexible than many other languages ​​in that ""cryptology"" (done by cryptologists) is always used in the second sense above.",hi,True,technical,93.57,22,22,0.0,4,4,0,preserved
"English is more flexible than several other languages in which ""cryptology"" (done by cryptologists) is always used in the second sense above.",L'anglais est plus flexible que plusieurs autres langues dans lesquelles la « cryptologie » (effectuée par des cryptologues) est toujours utilisée dans le deuxième sens ci-dessus.,"English is more flexible than several other languages ​​in which ""cryptology"" (performed by cryptologists) is always used in the second sense above.",fr,True,technical,95.5,22,22,0.0,4,4,0,preserved
"IBM also had its own DBMS in 1966, known as Information Management System (IMS).",IBM も 1966 年に、情報管理システム (IMS) として知られる独自の DBMS を開発しました。,"IBM also developed its own DBMS in 1966, known as Information Management System (IMS).",ja,True,technical,93.98,14,14,0.0,2,2,0,preserved
"IBM also had its own DBMS in 1966, known as Information Management System (IMS).","1966 में IBM का अपना DBMS भी था, जिसे सूचना प्रबंधन प्रणाली (IMS) के नाम से जाना जाता है।","IBM also had its own DBMS in 1966, known as the Information Management System (IMS).",hi,True,technical,97.56,14,15,7.14,2,2,0,preserved
"IBM also had its own DBMS in 1966, known as Information Management System (IMS).","IBM possédait également son propre SGBD en 1966, connu sous le nom de système de gestion de l'information (IMS).","IBM also had its own DBMS in 1966, known as the Information Management System (IMS).",fr,True,technical,97.56,14,15,7.14,2,2,0,preserved
"Standalone debuggers like GDB are also used, and these often provide less of a visual environment, usually using a command line.",GDB のようなスタンドアロン デバッガも使用されますが、これらは多くの場合、視覚的な環境をあまり提供せず、通常はコマンド ラインを使用します。,"Standalone debuggers like GDB are also used, but these often do not provide much of a visual environment and typically use the command line.",ja,True,technical,84.33,21,24,14.29,0,0,0,partial_loss
"Standalone debuggers like GDB are also used, and these often provide less of a visual environment, usually using a command line.","जीडीबी जैसे स्टैंडअलोन डिबगर्स का भी उपयोग किया जाता है, और ये अक्सर कमांड लाइन का उपयोग करके कम दृश्य वातावरण प्रदान करते हैं।","Standalone debuggers such as GDB are also used, and these often provide a less visual environment than using the command line.",hi,True,technical,87.4,21,21,0.0,0,0,0,preserved
"Standalone debuggers like GDB are also used, and these often provide less of a visual environment, usually using a command line.","Des débogueurs autonomes comme GDB sont également utilisés, et ceux-ci fournissent souvent un environnement moins visuel, utilisant généralement une ligne de commande.","Standalone debuggers like GDB are also used, and these often provide a less visual environment, usually using a command line.",fr,True,technical,97.23,21,20,-4.76,0,0,0,preserved
Algorithms are used as specifications for performing calculations and data processing.,アルゴリズムは、計算やデータ処理を実行するための仕様として使用されます。,Algorithms are used as specifications for performing calculations and data processing.,ja,True,technical,100.0,11,11,0.0,0,0,0,preserved
Algorithms are used as specifications for performing calculations and data processing.,एल्गोरिदम का उपयोग गणना करने और डेटा प्रोसेसिंग के लिए विशिष्टताओं के रूप में किया जाता है।,Algorithms are used as specifications for performing calculations and processing data.,hi,True,technical,94.19,11,11,0.0,0,0,0,preserved
Algorithms are used as specifications for performing calculations and data processing.,Les algorithmes sont utilisés comme spécifications pour effectuer des calculs et le traitement des données.,Algorithms are used as specifications to perform calculations and data processing.,fr,True,technical,96.43,11,11,0.0,0,0,0,preserved
"A document-oriented database is designed for storing, retrieving, and managing document-oriented, or semi structured, information.",ドキュメント指向データベースは、ドキュメント指向または半構造化された情報を保存、取得、管理するために設計されています。,"Document-oriented databases are designed to store, retrieve, and manage document-oriented or semi-structured information.",ja,True,technical,89.24,15,13,-13.33,2,3,-1,preserved
"A document-oriented database is designed for storing, retrieving, and managing document-oriented, or semi structured, information.","दस्तावेज़-उन्मुख डेटाबेस को दस्तावेज़-उन्मुख, या अर्ध संरचित, जानकारी को संग्रहीत करने, पुनर्प्राप्त करने और प्रबंधित करने के लिए डिज़ाइन किया गया है।","Document-oriented databases are designed to store, retrieve, and manage document-oriented, or semi-structured, information.",hi,True,technical,90.12,15,13,-13.33,2,3,-1,preserved
"A document-oriented database is designed for storing, retrieving, and managing document-oriented, or semi structured, information.","Une base de données orientée document est conçue pour stocker, récupérer et gérer des informations orientées document ou semi-structurées.","A document-oriented database is designed to store, retrieve, and manage document-oriented or semi-structured information.",fr,True,technical,92.43,15,14,-6.67,2,3,-1,preserved
"In 1950, he proposed the Turing test, which measures the ability of a machine to simulate human conversation.",1950 年に、彼は人間の会話をシミュレートする機械の能力を測定するチューリング テストを提案しました。,"In 1950, he proposed the Turing test to measure a machine's ability to simulate human conversation.",ja,True,technical,83.65,18,16,-11.11,0,1,-1,partial_loss
"In 1950, he proposed the Turing test, which measures the ability of a machine to simulate human conversation.","1950 में, उन्होंने ट्यूरिंग परीक्षण का प्रस्ताव रखा, जो मानव वार्तालाप का अनुकरण करने के लिए एक मशीन की क्षमता को मापता है।","In 1950, he proposed the Turing test, which measures a machine's ability to simulate human conversation.",hi,True,technical,88.26,18,16,-11.11,0,1,-1,preserved
"In 1950, he proposed the Turing test, which measures the ability of a machine to simulate human conversation.","En 1950, il propose le test de Turing, qui mesure la capacité d’une machine à simuler une conversation humaine.","In 1950, he proposed the Turing test, which measures the ability of a machine to simulate human conversation.",fr,True,technical,100.0,18,18,0.0,0,0,0,preserved
Twisted pair cabling is used for wired Ethernet and other standards.,ツイストペアケーブルは、有線イーサネットおよびその他の標準に使用されます。,Twisted pair cable is used for wired Ethernet and other standards.,ja,True,technical,97.01,11,11,0.0,0,0,0,preserved
Twisted pair cabling is used for wired Ethernet and other standards.,मुड़ जोड़ी केबलिंग का उपयोग वायर्ड ईथरनेट और अन्य मानकों के लिए किया जाता है।,Twisted pair cabling is used for wired Ethernet and other standards.,hi,True,technical,100.0,11,11,0.0,0,0,0,preserved
Twisted pair cabling is used for wired Ethernet and other standards.,Le câblage à paire torsadée est utilisé pour Ethernet filaire et d'autres normes.,Twisted pair cabling is used for wired Ethernet and other standards.,fr,True,technical,100.0,11,11,0.0,0,0,0,preserved
In 1977 the RSA algorithm was published in Martin Gardner's Scientific American column.,1977 年に、RSA アルゴリズムは Martin Gardner の Scientific American コラムに掲載されました。,"In 1977, the RSA algorithm was published in Martin Gardner's Scientific American column.",ja,True,technical,99.43,13,13,0.0,1,1,0,preserved
In 1977 the RSA algorithm was published in Martin Gardner's Scientific American column.,1977 में आरएसए एल्गोरिदम मार्टिन गार्डनर के साइंटिफिक अमेरिकन कॉलम में प्रकाशित हुआ था।,In 1977 the RSA algorithm was published in Martin Gardner's Scientific American column.,hi,True,technical,100.0,13,13,0.0,1,1,0,preserved
In 1977 the RSA algorithm was published in Martin Gardner's Scientific American column.,"En 1977, l'algorithme RSA a été publié dans la chronique Scientific American de Martin Gardner.","In 1977, the RSA algorithm was published in Martin Gardner's Scientific American column.",fr,True,technical,99.43,13,13,0.0,1,1,0,preserved
"The ""AI winter"", a period when obtaining funding for AI projects was difficult, followed.",AIプロジェクトへの資金調達が困難な「AIの冬」が続いた。,"The ""AI winter"" continued, making it difficult to raise funds for AI projects.",ja,True,technical,51.5,14,13,-7.14,2,2,0,significant_loss
"The ""AI winter"", a period when obtaining funding for AI projects was difficult, followed.","""एआई विंटर"", एक ऐसा दौर आया जब एआई परियोजनाओं के लिए धन प्राप्त करना कठिन था।","""AI Winter"", a period when it was difficult to obtain funding for AI projects.",hi,True,technical,69.46,14,14,0.0,2,2,0,partial_loss
"The ""AI winter"", a period when obtaining funding for AI projects was difficult, followed.","S’ensuit « l’hiver de l’IA », une période où l’obtention de financements pour des projets d’IA est difficile.","What follows is “AI winter,” a period when obtaining funding for AI projects is difficult.",fr,True,technical,81.56,14,15,7.14,2,0,2,partial_loss
